item,itemLabel,itemDescription
http://www.wikidata.org/entity/Q1184268,delinquent,person responsible for a delict
http://www.wikidata.org/entity/Q1495428,host,person who provides resources for an event
http://www.wikidata.org/entity/Q1430956,charlatan,person engaging in deceptive practices
http://www.wikidata.org/entity/Q1287848,Mãe-de-santo,
http://www.wikidata.org/entity/Q1145660,groupie,fan who follows a particular celebrity while on tour
http://www.wikidata.org/entity/Q1155081,Catholic seminarian,"someone who is studying at a seminary, and who is discerning the call to the Roman Catholic priesthood"
http://www.wikidata.org/entity/Q1326179,Electus,Type of believers in Manichaeism
http://www.wikidata.org/entity/Q1302255,card player,person who participates in a card game
http://www.wikidata.org/entity/Q1344452,discoverer,subclass of researcher
http://www.wikidata.org/entity/Q1201898,shahidka,Chechen female suicide bomber
http://www.wikidata.org/entity/Q1402736,Privatdozent,"academic title at European universities, an independent instructor who does not hold a professorship"
http://www.wikidata.org/entity/Q1483709,land owner,owner of land; holder of the estate in land with considerable rights of ownership
http://www.wikidata.org/entity/Q1501813,gothi,Norse tribal and religious leader
http://www.wikidata.org/entity/Q1304271,one-man band,one-piece band
http://www.wikidata.org/entity/Q1253946,Q1253946,profession
http://www.wikidata.org/entity/Q1454125,prostitution client,person that consumes and pays for sex
http://www.wikidata.org/entity/Q1251441,leader,someone with the authority to affect the conduct of others; who have the responsibility of leading
http://www.wikidata.org/entity/Q1203797,bicycle courier,person who work for courier companies carrying and delivering items by bicycle
http://www.wikidata.org/entity/Q1297719,French moralist,
http://www.wikidata.org/entity/Q1307526,rocket pioneer,
http://www.wikidata.org/entity/Q1498177,prison chaplain,
http://www.wikidata.org/entity/Q1259917,violinist,musician who plays the violin
http://www.wikidata.org/entity/Q1146843,anchorite,religious leaving society to lead a solitary life as a hermit
http://www.wikidata.org/entity/Q1165430,daoshi,"Taoism priest, monk, or master"
http://www.wikidata.org/entity/Q1495660,food critic,writer who analyzes food or restaurants
http://www.wikidata.org/entity/Q1364673,informant,person who provides privileged information about a person or organization to an agency
http://www.wikidata.org/entity/Q1294626,music artist,occupation
